imdb_id,actor
tt2096673,Amy Poehler
tt2096673,Bill Hader
tt2096673,Lewis Black
tt0434409,Hugo Weaving
tt0434409,Natalie Portman
tt0434409,Rupert Graves
tt5027774,Frances McDormand
tt5027774,Woody Harrelson
tt5027774,Sam Rockwell
tt0081398,Robert De Niro
tt0081398,Cathy Moriarty
tt0081398,Joe Pesci
tt4729430,Jason Schwartzman
tt4729430,J.K. Simmons
tt4729430,Rashida Jones
tt0117951,Ewan McGregor
tt0117951,Ewen Bremner
tt0117951,Jonny Lee Miller
tt0050212,William Holden
tt0050212,Alec Guinness
tt0050212,Jack Hawkins
tt0264464,Leonardo DiCaprio
tt0264464,Tom Hanks
tt0264464,Christopher Walken
tt0116282,William H. Macy
tt0116282,Frances McDormand
tt0116282,Steve Buscemi
tt1291584,Tom Hardy
tt1291584,Nick Nolte
tt1291584,Joel Edgerton
tt10872600,Tom Holland
tt10872600,Zendaya
tt10872600,Benedict Cumberbatch
tt1205489,Clint Eastwood
tt1205489,Bee Vang
tt1205489,Christopher Carley
tt1201607,Daniel Radcliffe
tt1201607,Emma Watson
tt1201607,Rupert Grint
tt0405159,Hilary Swank
tt0405159,Clint Eastwood
tt0405159,Morgan Freeman
tt0096283,Hitoshi Takagi
tt0096283,Noriko Hidaka
tt0096283,Chika Sakamoto
tt1392190,Tom Hardy
tt1392190,Charlize Theron
tt1392190,Nicholas Hoult
tt0052618,Charlton Heston
tt0052618,Jack Hawkins
tt0052618,Stephen Boyd
tt0118849,Mohammad Amir Naji
tt0118849,Amir Farrokh Hashemian
tt0118849,Bahare Seddiqi
tt0072684,Ryan O'Neal
tt0072684,Marisa Berenson
tt0072684,Patrick Magee
tt2024544,Chiwetel Ejiofor
tt2024544,Michael Kenneth Williams
tt2024544,Michael Fassbender
tt0083658,Harrison Ford
tt0083658,Rutger Hauer
tt0083658,Sean Young
tt0112471,Ethan Hawke
tt0112471,Julie Delpy
tt0112471,Andrea Eckert
tt2278388,Ralph Fiennes
tt2278388,F. Murray Abraham
tt2278388,Mathieu Amalric
tt2119532,Andrew Garfield
tt2119532,Sam Worthington
tt2119532,Luke Bracey
tt0097165,Robin Williams
tt0097165,Robert Sean Leonard
tt0097165,Ethan Hawke
tt2267998,Ben Affleck
tt2267998,Rosamund Pike
tt2267998,Neil Patrick Harris
tt0353969,Song Kang-ho
tt0353969,Kim Sang-kyung
tt0353969,Kim Roe-ha
tt0107207,Daniel Day-Lewis
tt0107207,Pete Postlethwaite
tt0107207,Alison Crosbie
tt0015864,Charles Chaplin
tt0015864,Mack Swain
tt0015864,Tom Murray
tt26548265,Vijay Sethupathi
tt26548265,Anurag Kashyap
tt26548265,Mamta Mohandas
tt0198781,Billy Crystal
tt0198781,John Goodman
tt0198781,Mary Gibbs
tt3011894,Darío Grandinetti
tt3011894,María Marull
tt3011894,Mónica Villa
tt0382932,Brad Garrett
tt0382932,Lou Romano
tt0382932,Patton Oswalt
tt0077416,Robert De Niro
tt0077416,Christopher Walken
tt0077416,John Cazale
tt0892769,Jay Baruchel
tt0892769,Gerard Butler
tt0892769,Christopher Mintz-Plasse
tt0073195,Roy Scheider
tt0073195,Robert Shaw
tt0073195,Richard Dreyfuss
tt0015324,Buster Keaton
tt0015324,Kathryn McGuire
tt0015324,Joe Keaton
tt0017925,Buster Keaton
tt0017925,Marion Mack
tt0017925,Glen Cavender
tt0978762,Toni Collette
tt0978762,Philip Seymour Hoffman
tt0978762,Eric Bana
tt0047296,Marlon Brando
tt0047296,Karl Malden
tt0047296,Lee J. Cobb
tt0046268,Yves Montand
tt0046268,Charles Vanel
tt0046268,Peter van Eyck
tt1950186,Matt Damon
tt1950186,Christian Bale
tt1950186,Jon Bernthal
tt0050986,Victor Sjöström
tt0050986,Bibi Andersson
tt0050986,Ingrid Thulin
tt0031679,James Stewart
tt0031679,Jean Arthur
tt0031679,Claude Rains
tt0041959,Orson Welles
tt0041959,Joseph Cotten
tt0041959,Alida Valli
tt3315342,Hugh Jackman
tt3315342,Patrick Stewart
tt3315342,Dafne Keen
tt0075148,Sylvester Stallone
tt0075148,Talia Shire
tt0075148,Burt Young
tt0046438,Chishû Ryû
tt0046438,Chieko Higashiyama
tt0046438,Sô Yamamura
tt0118715,Jeff Bridges
tt0118715,John Goodman
tt0118715,Julianne Moore
tt0050976,Max von Sydow
tt0050976,Gunnar Björnstrand
tt0050976,Bengt Ekerot
tt3170832,Brie Larson
tt3170832,Jacob Tremblay
tt3170832,Sean Bridgers
tt1895587,Mark Ruffalo
tt1895587,Michael Keaton
tt1895587,Rachel McAdams
tt0088247,Arnold Schwarzenegger
tt0088247,Linda Hamilton
tt0088247,Michael Biehn
tt0395169,Don Cheadle
tt0395169,Sophie Okonedo
tt0395169,Joaquin Phoenix
tt0091763,Charlie Sheen
tt0091763,Tom Berenger
tt0091763,Willem Dafoe
tt0325980,Johnny Depp
tt0325980,Geoffrey Rush
tt0325980,Orlando Bloom
tt0113247,Vincent Cassel
tt0113247,Hubert Koundé
tt0113247,Saïd Taghmaoui
tt15097216,Suriya
tt15097216,Lijo Mol Jose
tt15097216,Manikandan K.
tt0381681,Ethan Hawke
tt0381681,Julie Delpy
tt0381681,Vernon Dobtcheff
tt0019254,Maria Falconetti
tt0019254,Eugene Silvain
tt0019254,André Berley
tt0036868,Myrna Loy
tt0036868,Dana Andrews
tt0036868,Fredric March
tt0070047,Ellen Burstyn
tt0070047,Max von Sydow
tt0070047,Linda Blair
tt0049902,François Leterrier
tt0049902,Charles Le Clainche
tt0049902,Maurice Beerblock
tt1979320,Daniel Brühl
tt1979320,Chris Hemsworth
tt1979320,Olivia Wilde
tt0317705,Craig T. Nelson
tt0317705,Samuel L. Jackson
tt0317705,Holly Hunter
tt0032138,Judy Garland
tt0032138,Frank Morgan
tt0032138,Ray Bolger
tt0074958,Faye Dunaway
tt0074958,William Holden
tt0074958,Peter Finch
tt0092005,Wil Wheaton
tt0092005,River Phoenix
tt0092005,Corey Feldman
tt1028532,Richard Gere
tt1028532,Joan Allen
tt1028532,Cary-Hiroyuki Tagawa
tt0059742,Julie Andrews
tt0059742,Christopher Plummer
tt0059742,Eleanor Parker
tt0476735,Çetin Tekindor
tt0476735,Fikret Kuskan
tt0476735,Hümeyra
tt0035446,Carole Lombard
tt0035446,Jack Benny
tt0035446,Robert Stack
tt4016934,Kim Min-hee
tt4016934,Ha Jung-woo
tt4016934,Cho Jin-woong
tt0758758,Emile Hirsch
tt0758758,Vince Vaughn
tt0758758,Catherine Keener
tt0058946,Brahim Hadjadj
tt0058946,Jean Martin
tt0058946,Yacef Saadi
tt0129167,Eli Marienthal
tt0129167,Harry Connick Jr.
tt0129167,Jennifer Aniston
tt0032551,Henry Fonda
tt0032551,Jane Darwell
tt0032551,John Carradine
tt0107048,Bill Murray
tt0107048,Andie MacDowell
tt0107048,Chris Elliott
tt0245712,Emilio Echevarría
tt0245712,Gael García Bernal
tt0245712,Goya Toledo
tt0032976,Laurence Olivier
tt0032976,Joan Fontaine
tt0032976,George Sanders
tt1454029,Viola Davis
tt1454029,Emma Stone
tt1454029,Octavia Spencer
tt0061512,Paul Newman
tt0061512,George Kennedy
tt0061512,Strother Martin
tt5323662,Miyu Irino
tt5323662,Saori Hayami
tt5323662,Aoi Yûki
