Title,Streaming On,Price,IMDb_URL
Metropolis,Not Available,Not Available,Not Available
Snatch,Vidio,Subscription,https://www.imdb.com/title/tt0208092
Snatch,Apple TV,Subscription,https://www.imdb.com/title/tt0208092
Snatch,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt0208092
1917,Not Available,Not Available,Not Available
L.a. confidential,Vidio,Subscription,https://www.imdb.com/title/tt0119488
Bicycle thieves,Not Available,Not Available,Not Available
Downfall,Not Available,Not Available,Not Available
Hamilton,Not Available,Not Available,Not Available
Taxi driver,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0075314
Taxi driver,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0075314
Dangal,Not Available,Not Available,Not Available
The wolf of wall street,Not Available,Not Available,Not Available
Batman begins,Netflix,Subscription,https://www.imdb.com/title/tt0372784
Batman begins,Max,Subscription,https://www.imdb.com/title/tt0372784
Batman begins,Apple TV,Subscription,https://www.imdb.com/title/tt0372784
Batman begins,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt0372784
For a few dollars more,Apple TV,"From Rp 25.000,00",
Green book,Not Available,Not Available,Not Available
Some like it hot,Not Available,Not Available,Not Available
The truman show,Google Play Movies & TV,"From Rp 25.000,00",
The truman show,Apple TV,"From Rp 25.000,00",
Judgment at nuremberg,Not Available,Not Available,Not Available
The kid,Not Available,Not Available,Not Available
The father,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt10272386
Shutter island,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt1130884
Shutter island,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt1130884
All about eve,Not Available,Not Available,Not Available
There will be blood,Not Available,Not Available,Not Available
Jurassic park,Amazon Prime Video,Subscription,https://www.imdb.com/title/tt0107290
Jurassic park,Vidio,Subscription,https://www.imdb.com/title/tt0107290
Jurassic park,Apple TV,Subscription,https://www.imdb.com/title/tt0107290
Jurassic park,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt0107290
Casino,Amazon Prime Video,Subscription,
Top gun: maverick,Google Play Movies & TV,"From Rp 25.000,00",
Top gun: maverick,Apple TV,"From Rp 25.000,00",
The sixth sense,Not Available,Not Available,Not Available
Ran,Not Available,Not Available,Not Available
Pan's labyrinth,Not Available,Not Available,Not Available
No country for old men,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0477348
No country for old men,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0477348
Unforgiven,Apple TV,"From Rp 25.000,00",
The thing,Not Available,Not Available,Not Available
A beautiful mind,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0268978
A beautiful mind,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0268978
Kill bill: vol. 1,Not Available,Not Available,Not Available
The wild robot,Not Available,Not Available,Not Available
The treasure of the sierra madre,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0040897
Yojimbo,Not Available,Not Available,Not Available
Prisoners,Apple TV,"From Rp 25.000,00",
The great escape,Apple TV,"From Rp 25.000,00",
Finding nemo,Not Available,Not Available,Not Available
Monty python and the holy grail,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0071853
Howl's moving castle,Netflix,Subscription,
The elephant man,Not Available,Not Available,Not Available
Rashomon,Not Available,Not Available,Not Available
Dial m for murder,Not Available,Not Available,Not Available
Gone with the wind,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0031381
Chinatown,Not Available,Not Available,Not Available
The secret in their eyes,Not Available,Not Available,Not Available
"Lock, stock and two smoking barrels",Not Available,Not Available,Not Available
Inside out,Not Available,Not Available,Not Available
V for vendetta,Max,Subscription,
V for vendetta,Google Play Movies & TV,Subscription,
V for vendetta,Apple TV,Subscription,
"Three billboards outside ebbing, missouri",Not Available,Not Available,Not Available
Raging bull,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0081398
Raging bull,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0081398
Klaus,Netflix,Subscription,https://www.imdb.com/title/tt4729430
Trainspotting,Not Available,Not Available,Not Available
The bridge on the river kwai,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0050212
Catch me if you can,Vidio,Subscription,https://www.imdb.com/title/tt0264464
Catch me if you can,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt0264464
Catch me if you can,Apple TV,Subscription,https://www.imdb.com/title/tt0264464
Fargo,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0116282
Warrior,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt1291584
Warrior,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt1291584
Spider-man: no way home,Netflix,Subscription,https://www.imdb.com/title/tt10872600
Spider-man: no way home,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt10872600
Spider-man: no way home,Apple TV,Subscription,https://www.imdb.com/title/tt10872600
Gran torino,Google Play Movies & TV,"From Rp 28.000,00",
Harry potter and the deathly hallows: part 2,Max,Subscription,https://www.imdb.com/title/tt1201607
Harry potter and the deathly hallows: part 2,Google Play Movies & TV,Subscription,https://www.imdb.com/title/tt1201607
Harry potter and the deathly hallows: part 2,Apple TV,Subscription,https://www.imdb.com/title/tt1201607
Million dollar baby,Not Available,Not Available,Not Available
My neighbour totoro,Netflix,Subscription,https://www.imdb.com/title/tt0096283
Mad max: fury road,Netflix,Subscription,
Mad max: fury road,Max,Subscription,
Mad max: fury road,Apple TV,Subscription,
Ben-hur,Apple TV,"From Rp 25.000,00",
Children of heaven,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0118849
Barry lyndon,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0072684
Barry lyndon,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0072684
12 years a slave,Not Available,Not Available,Not Available
Blade runner,Not Available,Not Available,Not Available
Before sunrise,Google Play Movies & TV,"From Rp 28.000,00",https://www.imdb.com/title/tt0112471
The grand budapest hotel,Not Available,Not Available,Not Available
Hacksaw ridge,Netflix,Subscription,
Hacksaw ridge,Vidio,Subscription,
Dead poets society,Not Available,Not Available,Not Available
Gone girl,Vidio,Subscription,https://www.imdb.com/title/tt2267998
Memories of murder,Not Available,Not Available,Not Available
In the name of the father,Not Available,Not Available,Not Available
The gold rush,Not Available,Not Available,Not Available
Maharaja,Netflix,Subscription,https://www.imdb.com/title/tt26548265
"Monsters, inc.",Not Available,Not Available,Not Available
Wild tales,Not Available,Not Available,Not Available
Ratatouille,Not Available,Not Available,Not Available
The deer hunter,Not Available,Not Available,Not Available
How to train your dragon,Apple TV,"From Rp 25.000,00",
How to train your dragon,Google Play Movies & TV,"From Rp 25.000,00",
Jaws,Netflix,Subscription,https://www.imdb.com/title/tt0073195
Jaws,Amazon Prime Video,Subscription,https://www.imdb.com/title/tt0073195
Sherlock jr.,Not Available,Not Available,Not Available
The general,Not Available,Not Available,Not Available
Mary and max,Not Available,Not Available,Not Available
On the waterfront,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0047296
On the waterfront,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0047296
The wages of fear,Netflix,Subscription,https://www.imdb.com/title/tt27487473
Le mans '66,Not Available,Not Available,Not Available
Wild strawberries,Not Available,Not Available,Not Available
Mr. smith goes to washington,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0031679
The third man,Not Available,Not Available,Not Available
Logan,Not Available,Not Available,Not Available
Rocky,Apple TV,"From Rp 25.000,00",
Tokyo story,Not Available,Not Available,Not Available
The big lebowski,Not Available,Not Available,Not Available
The seventh seal,Not Available,Not Available,Not Available
Room,Not Available,Not Available,Not Available
Spotlight,Not Available,Not Available,Not Available
The terminator,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0088247
Hotel rwanda,Not Available,Not Available,Not Available
Platoon,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0091763
Pirates of the caribbean: the curse of the black pearl,Not Available,Not Available,Not Available
La haine,Not Available,Not Available,Not Available
Jai bhim,Amazon Prime Video,Subscription,https://www.imdb.com/title/tt15097216
Before sunset,Google Play Movies & TV,"From Rp 28.000,00",https://www.imdb.com/title/tt0381681
The passion of joan of arc,Not Available,Not Available,Not Available
The best years of our lives,Not Available,Not Available,Not Available
The exorcist,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0070047
The exorcist,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0070047
Rush,Not Available,Not Available,Not Available
A man escaped,Not Available,Not Available,Not Available
The incredibles,Not Available,Not Available,Not Available
The wizard of oz,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0032138
The wizard of oz,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0032138
Network,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0074958
Stand by me,Netflix,Subscription,https://www.imdb.com/title/tt0092005
Stand by me,Apple TV,Subscription,https://www.imdb.com/title/tt0092005
Hachi: a dog's tale,Not Available,Not Available,Not Available
The sound of music,Not Available,Not Available,Not Available
My father and my son,Not Available,Not Available,Not Available
To be or not to be,Not Available,Not Available,Not Available
The handmaiden,Not Available,Not Available,Not Available
Into the wild,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0758758
Into the wild,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0758758
The battle of algiers,Not Available,Not Available,Not Available
The iron giant,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0129167
The grapes of wrath,Not Available,Not Available,Not Available
Groundhog day,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0107048
Groundhog day,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0107048
Amores perros,Not Available,Not Available,Not Available
Rebecca,Netflix,Subscription,https://www.imdb.com/title/tt2235695
The help,Not Available,Not Available,Not Available
Cool hand luke,Apple TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0061512
Cool hand luke,Google Play Movies & TV,"From Rp 25.000,00",https://www.imdb.com/title/tt0061512
A silent voice,Netflix,Subscription,https://www.imdb.com/title/tt5323662
"Paris, texas",Not Available,Not Available,Not Available
